Name,Class,Race 5 - Qualifying,Race 5 - Pre-final,Race 5 - Final,Race 5 - Fastest Lap,Race 6 - Qualifying,Race 4 - Pre-final,Race 6 - Final,Race 6 - Fastest Lap
Sydney Cassels,Tag Junior,,,,,,,,
Devon Radosevich,Tag Junior,,,,,,,,
Jamel Abougoush,Tag Junior,2,1,1,1,,,,
Logan McLean,Tag Junior,,,,,,,,
Carter Lundy,Tag Junior,,,,,,,,
Theo Carpenter,Tag Junior,,,,,,,,
Connor Riley,Tag Junior,3,3,3,,,,,
Toby Lien,Tag Junior,,,,,,,,
Tanner Bauman,Tag Junior,,,,,,,,
Charlotte Baye Pearson,Tag Junior,4,4,4,,,,,
Carter McGregor,Tag Junior,,,,,,,,
Cole Chura,Tag Junior,,,,,,,,
Zachary Dickey,Tag Junior,,,,,,,,
Jenson McGregor,Tag Junior,,,,,,,,
Joey Jay,Tag Junior,,,,,,,,
Grayson Thorpe Doubble,Tag Junior,5,6,6,,,,,
Yullia Dianova,Tag Junior,,,,,,,,
Logan Robinson,Tag Junior,,,,,,,,
Ty Fisher,Tag Junior,1,2,2,,,,,
Kayden Martens,Tag Junior,,5,5,,,,,
,,,,,,,,,
,,,,,,,,,
Guntas Singh Sandhu,Jr 2 Briggs LO206,,,,,,,,
Zachary Dickey,Jr 2 Briggs LO206,,,,,,,,
Charlotte Baye-Pearson,Jr 2 Briggs LO206,3,3,3,,,,,
Caylus Martin,Jr 2 Briggs LO206,1,1,1,1,,,,
Isaac Piper,Jr 2 Briggs LO206,,,,,,,,
Logan Robinson,Jr 2 Briggs LO206,,,,,,,,
Kayden Martens,Jr 2 Briggs LO206,2,2,2,,,,,
Jaden Moira,Jr 2 Briggs LO206,4,4,4,,,,,
Liam Cormier,Jr 2 Briggs LO206,5,5,5,,,,,
,,,,,,,,,
,,,,,,,,,
Alex Cherewky,Sr Briggs LO206,,,,,,,,
William Oliver,Sr Briggs LO206,,,,,,,,
Ian Pirie,Sr Briggs LO206,1,1,1,1,,,,
Harrison Hrynew,Sr Briggs LO206,,,,,,,,
Rod Matthews,Sr Briggs LO206,6,5,5,,,,,
Mitchell Nursey,Sr Briggs LO206,3,4,6,,,,,
Braydon Otto,Sr Briggs LO206,2,2,3,,,,,
Timothy Silk,Sr Briggs LO206,,,,,,,,
Stefan Rzadzinski,Sr Briggs LO206,,,,,,,,
Doug Litherland,Sr Briggs LO206,,7,9,,,,,
Csanad Solyom,Sr Briggs LO206,,,,,,,,
Evan Hallam,Sr Briggs LO206,,,,,,,,
Peter Cheung,Sr Briggs LO206,5,3,2,,,,,
Dane Mayhew,Sr Briggs LO206,,,,,,,,
Carter McColeman,Sr Briggs LO206,,,,,,,,
Ryan McMurren,Sr Briggs LO206,,,,,,,,
Jeremy Lamb,Sr Briggs LO206,,,,,,,,
Quinn Pearson,Sr Briggs LO206,7,9,8,,,,,
Anastasia Petukhova,Sr Briggs LO206,,,,,,,,
Kristopher Hayward,Sr Briggs LO206,,,,,,,,
Jer Bird,Sr Briggs LO206,,,,,,,,
Robbie Horvath,Sr Briggs LO206,4,6,4,,,,,
Richard Arder,Sr Briggs LO206,,,,,,,,
Jamal Kham,Sr Briggs LO206,8,8,7,,,,,
,,,,,,,,,
,,,,,,,,,
Arjun Gill,TaG Cadet,,,,,,,,
James Beddard,TaG Cadet,2,2,2,,,,,
Mathias Broerken,TaG Cadet,,,,,,,,
Brandon Ng,TaG Cadet,,,,,,,,
Brandon Moira,TaG Cadet,,,,,,,,
Elizabeth Jay,TaG Cadet,,,,,,,,
Alex Jay,TaG Cadet,,,,,,,,
Gabriel Balog,TaG Cadet,1,1,1,1,,,,
,,,,,,,,,
,,,,,,,,,
Branden Moira,Jr 1 Briggs LO206,1,1,1,1,,,,
Blake Wade,Jr 1 Briggs LO206,,,,,,,,
Colton Thorpe Doubble,Jr 1 Briggs LO206,3,3,,,,,,
Marcelo Navarrete,Jr 1 Briggs LO206,2,2,2,,,,,
,,,,,,,,,
,,,,,,,,,
Scott Hardgrove,Tag Senior,,,,,,,,
Reimo Ruscitti,Tag Senior,,,,,,,,
Derek Wang,Tag Senior,,,,,,,,
Jordan Redlin,Tag Senior,9,6,,,,,,
Dillon Ulinder,Tag Senior,,,,,,,,
Marco Kacic,Tag Senior,,,,,,,,
Ian Pirie,Tag Senior,,1,2,,,,,
William Oliver,Tag Senior,,,,,,,,
Kristian Dinkov,Tag Senior,1,3,3,,,,,
Kyle Francis,Tag Senior,7,4,,,,,,
Jacob Loyer,Tag Senior,,,,,,,,
Sean Michell-Jones,Tag Senior,13,13,,,,,,
Tony Eyaciguroff,Tag Senior,,,,,,,,
Ryan Cassels,Tag Senior,,,,,,,,
Luka Peric,Tag Senior,,,,,,,,
Kyle Cassels,Tag Senior,,,,,,,,
Cyrus Pischke,Tag Senior,3,9,,,,,,
Calvin Rugg,Tag Senior,,,,,,,,
Xylus Martin,Tag Senior,8,11,,,,,,
Tyrell McGrath,Tag Senior,14,10,,,,,,
David Nykl,Tag Senior,,,,,,,,
Richard Carter,Tag Senior,,,,,,,,
Sean Lynch,Tag Senior,11,14,,,,,,
Nick Whiteley,Tag Senior,,,,,,,,
Chris Moyse,Tag Senior,16,,,,,,,
Robbie Arthur,Tag Senior,5,5,,,,,,
Valentin Creusot,Tag Senior,4,7,,,,,,
Leone Lofti,Tag Senior,,,,,,,,
Josh Finer,Tag Senior,2,2,1,,,,,
Isaac Finer,Tag Senior,6,12,,,,,,
Taylor Rand,Tag Senior,10,8,,,,,,
Matt McLeod,Tag Senior,12,16,,,,,,
Will Linn,Tag Senior,15,15,,,,,,
,,,,,,,,,
,,,,,,,,,
Tyler Dueck,Tag Masters,,,,,,,,
Sam Beswick,Tag Masters,,,,,,,,
Christopher Chan,Tag Masters,,,,,,,,
Cameron Cassels,Tag Masters,,,,,,,,
Daryle Redlin,Tag Masters,2,2,10,,,,,
Alan Burnell,Tag Masters,1,1,1,1,,,,
Eric Gerloff,Tag Masters,,,,,,,,
Bryan Stauffer,Tag Masters,,,,,,,,
Lucas Lundy,Tag Masters,,,,,,,,
Gary Ochi,Tag Masters,,,,,,,,
Wouter Bauman,Tag Masters,,,,,,,,
John Almond,Tag Masters,,,,,,,,
Braydon Bulger,Tag Masters,9,,5,,,,,
Matthew Bahen,Tag Masters,5,5,4,,,,,
Todd Martin,Tag Masters,4,4,3,,,,,
Wolfgang Temmel,Tag Masters,7,7,8,,,,,
Rick Payne,Tag Masters,,,,,,,,
Jamie Coles,Tag Masters,,,,,,,,
Brant Gladstone,Tag Masters,,,,,,,,
Ian Dianov,Tag Masters,,,,,,,,
Richard Sebastianelli,Tag Masters,,,,,,,,
David Unickow,Tag Masters,,,,,,,,
Helmut Buhl,Tag Masters,,,,,,,,
Aaron Thomas,Tag Masters,,,,,,,,
Daniel Jabillo,Tag Masters,,,,,,,,
John Webster,Tag Masters,3,3,2,,,,,
Wes Roberts,Tag Masters,6,6,7,,,,,
Carl Wilson,Tag Masters,8,8,9,,,,,
Jimmy Lucas,Tag Masters,,,6,,,,,
