Driver,Class,Race 1,Race 2,Race 3,Total
Aaron Smith,TAG Masters,550,485,550,1585
Alan Burnell,TAG Masters,600,335,510,1445
Mike Chalk,TAG Masters,485,420,420,1325
Craig Roberts,TAG Masters,510,350,410,1270
Johnny Sutton,TAG Masters,0,550,600,1150
Todd Martin,TAG Masters,420,360,360,1140
Eric Harknett,TAG Masters,450,345,340,1135
Daryle Redlin,TAG Masters,0,510,485,995
Sam Beswick,TAG Masters,0,600,315,915
Chris Bemister,TAG Masters,0,450,450,900
Rick Payne,TAG Masters,0,430,390,820
Deighton Calverley,TAG Masters,430,370,0,800
Erik Gerlof,TAG Masters,0,400,400,800
Bouman Wouter,TAG Masters,0,410,375,785
John Webster,TAG Masters,0,380,355,735
Gavin Aitken,TAG Masters,0,365,320,685
Trevor Bowers,TAG Masters,0,340,310,650
Jimmy Lucas,TAG Masters,0,0,430,430
Sean Staniforth,TAG Masters,410,0,0,410
Grant Klohn,TAG Masters,0,390,0,390
Brian Lee,TAG Masters,0,375,0,375
Stewart Lee,TAG Masters,0,0,370,370
Lorenzo Boff,TAG Masters,0,0,365,365
Rob Haslam,TAG Masters,0,355,0,355
Wolfgang Temmel,TAG Masters,0,0,350,350
Bram Harvey,TAG Masters,0,0,345,345
Dale Taylor,TAG Masters,0,0,335,335
Ron Jay,TAG Masters,0,0,330,330
Brant Gladstone,TAG Masters,0,0,325,325
,,,,,
,,,,,
,,,,,
Sean Michell-Jones,Tag Senior,510,485,550,1545
Evan Arnold,Tag Senior,370,550,600,1520
Xylus Martin,Tag Senior,485,420,510,1415
Ron Burnell,Tag Senior,430,390,420,1240
Mike Kleywegt,Tag Senior,380,380,430,1190
Chris Moyse,Tag Senior,450,370,365,1185
David Nykl,Tag Senior,400,375,410,1185
Antonio Constantino,Tag Senior,360,600,0,960
TJ Madonna,Tag Senior,375,450,0,825
Steve Healey,Tag Senior,390,0,390,780
Brodie Gerbrandt,Tag Senior,420,350,0,770
Bryant M,Tag Senior,0,355,375,730
Sam Beswick,Tag Senior,600,0,0,600
Johnny Sutton,Tag Senior,550,0,0,550
Carter Mitchell,Tag Senior,0,510,0,510
Mathew Bahen,Tag Senior,0,0,485,485
Aidan Nelmes,Tag Senior,0,0,450,450
Marco Simpson,Tag Senior,0,430,0,430
Trevor Bowers,Tag Senior,410,0,0,410
Sean Lynch,Tag Senior,0,410,0,410
Jimmy Lucas,Tag Senior,0,400,0,400
Tyson Rand,Tag Senior,0,0,400,400
Tyler Clough,Tag Senior,0,0,370,370
Woutor Bouman,Tag Senior,365,0,0,365
Brayden Bulger,Tag Senior,0,365,0,365
Matt MacLeod,Tag Senior,0,0,365,365
Gerry Rand,Tag Senior,0,360,0,360
,,,,,
,,,,,
Janel Church,Senior 4 Cycle Open,485,450,550,1485
Kalem Penner,Senior 4 Cycle Open,600,0,600,1200
Carl Wilson,Senior 4 Cycle Open,550,510,0,1060
Hazen Furtado,Senior 4 Cycle Open,510,550,0,1060
Chris McLnerney,Senior 4 Cycle Open,0,600,0,600
Tony Church,Senior 4 Cycle Open,0,0,510,510
Dylan Church,Senior 4 Cycle Open,0,485,0,485
Bryant Mace,Senior 4 Cycle Open,450,0,0,450
,,,,,
Mitchell Nursey,Senior Briggs,485,485,430,1400
Blair Higgs,Senior Briggs,510,370,370,1250
Rick Hill,Senior Briggs,430,375,375,1180
Chuck Hill,Senior Briggs,410,345,355,1110
Rick Payne,Senior Briggs,550,0,550,1100
Calvin Rugg,Senior Briggs,0,430,485,915
Evan Donaldson,Senior Briggs,0,420,450,870
Antonio Bianchi,Senior Briggs,0,350,510,860
Cole Sorenson,Senior Briggs,0,510,345,855
Don Walker,Senior Briggs,0,450,380,830
Bruce Donaldson,Senior Briggs,0,390,400,790
Robbie Arthur,Senior Briggs,600,0,0,600
Mario Gill,Senior Briggs,0,600,0,600
TJ Maddona,Senior Briggs,0,0,600,600
Jesse Webb,Senior Briggs,0,550,0,550
Wolfgang Temmel,Senior Briggs,450,0,0,450
Danny Matthews,Senior Briggs,420,0,0,420
Ryan McMurren,Senior Briggs,0,0,420,420
Aaron Burnell,Senior Briggs,0,410,0,410
Greg Wilson,Senior Briggs,0,0,410,410
Bradyn Howe,Senior Briggs,400,0,0,400
Evan Hallam,Senior Briggs,0,400,0,400
Jared DeVuyst,Senior Briggs,0,0,390,390
Paul Garside,Senior Briggs,0,380,0,380
Tyler Clough,Senior Briggs,0,375,0,375
Kyle Mathews,Senior Briggs,0,0,365,365
Barry McGrade,Senior Briggs,0,360,0,360
Quinn Pearson,Senior Briggs,0,0,360,360
Steve Schwandt,Senior Briggs,0,355,0,355
Robbie Horvath,Senior Briggs,0,0,350,350
,,,,,
,,,,,
Tanner Bouman,Junior 2 Briggs,600,600,600,1800
Charlotte Baye-Pearson,Junior 2 Briggs,550,485,485,1520
Logan Robinson,Junior 2 Briggs,510,550,450,1510
Caylus Martin,Junior 2 Briggs,485,510,430,1425
Layne Donaldson,Junior 2 Briggs,0,450,420,870
Calvin Smith,Junior 2 Briggs,0,430,410,840
Nicholas Wade,Junior 2 Briggs,0,0,550,550
Brodie Wade,Junior 2 Briggs,0,0,510,510
,,,,,
,,,,,
,,,,,
Branden Moria,Junior 1,0,550,600,1150
Amadeus Beswick,Junior 1,0,600,0,600
,,,,,
,,,,,
Arjun Gill,Tag Cadet,0,550,550,1100
Elizabeth Jay,Tag Cadet,0,430,510,940
Luca Popescu,Tag Cadet,0,600,0,600
Joey Jay,Tag Cadet,0,0,600,600
Mathias Broerken,Tag Cadet,0,510,0,510
Ayrton Cui,Tag Cadet,0,485,0,485
Oliver Broerken,Tag Cadet,0,450,0,450
Emmalynn Cranz,Tag Cadet,0,420,0,420
,,,,,
Massimo Valiante,Tag Junior,0,600,600,1200
Zane Walker,Tag Junior,0,550,0,550
Theo Carpenter,Tag Junior,0,510,0,510
Joey Jay,Tag Junior,0,0,0,0
